Variable,N,Mean,SD,SE,95% Conf.,Interval
SK_ID_CURR,1716428.0,278214.9336,102938.5581,78.5715,278060.9361,278368.9311
SK_ID_BUREAU,1716428.0,5924434.489,532265.7286,406.2709,5923638.2122,5925230.7659
DAYS_CREDIT,1716428.0,-1142.1077,795.1649,0.6069,-1143.2973,-1140.9181
CREDIT_DAY_OVERDUE,1716428.0,0.8182,36.5444,0.0279,0.7635,0.8728
DAYS_CREDIT_ENDDATE,1610875.0,510.5174,4994.2198,3.9349,502.805,518.2297
DAYS_ENDDATE_FACT,1082775.0,-1017.4371,714.0106,0.6862,-1018.782,-1016.0923
AMT_CREDIT_MAX_OVERDUE,591940.0,3825.4177,206031.6062,267.7904,3300.557,4350.2783
CNT_CREDIT_PROLONG,1716428.0,0.0064,0.0962,0.0001,0.0063,0.0066
AMT_CREDIT_SUM,1716415.0,354994.5919,1149811.344,877.638,353274.4518,356714.7321
AMT_CREDIT_SUM_DEBT,1458759.0,137085.12,677401.131,560.8596,135985.8545,138184.3854
AMT_CREDIT_SUM_LIMIT,1124648.0,6229.515,45032.0315,42.4633,6146.2884,6312.7415
AMT_CREDIT_SUM_OVERDUE,1716428.0,37.9128,5937.65,4.5321,29.03,46.7956
DAYS_CREDIT_UPDATE,1716428.0,-593.7483,720.7473,0.5501,-594.8266,-592.6701
AMT_ANNUITY,489637.0,15712.7577,325826.9491,465.6396,14800.1186,16625.3968
